case_name,seed,run_id,run_summary_path,terminal_local_field_direction_intervention,terminal_local_field_rowspace_angle_clip_degrees,terminal_local_field_orthogonal_angle_clip_degrees,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,test_report_output_mse,val_supervised_transport_output_mse,test_supervised_transport_output_mse,val_delta_h_rms_total,val_delta_h_rms_rowspace,val_delta_h_rms_orthogonal,val_delta_h_rowspace_fraction,test_delta_h_rms_total,test_delta_h_rms_rowspace,test_delta_h_rms_orthogonal,test_delta_h_rowspace_fraction,runtime_proxy_seconds
adopted_control,0,control_s0,tf2_runs/tf2/control_s0/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,53,0.774074074074074,0.8037037037037037,11,1.0,0.0,0.3137282688131667,0.06320277364531794,0.06274214890460197,0.05516971777538815,0.05475014631375841,0.2743618919770443,0.14641771874107942,0.23202650583043638,0.5336663837896631,0.2720170006216549,0.145162582375685,0.23004580697162014,0.5336526101086962,16.603750399997807
adopted_control,1,control_s1,tf2_runs/tf2/control_s1/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,56,0.8629629629629629,0.8333333333333334,23,1.0,0.0,0.2883009074387914,0.05881460861610098,0.059407377548759153,0.04967542185167584,0.050221859389637594,0.28158828725490337,0.15597799093227577,0.2344415276009796,0.5539221551181891,0.2801929070279422,0.15594936227247427,0.23278286353504987,0.5565785512797519,16.8088798999961
adopted_control,2,control_s2,tf2_runs/tf2/control_s2/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,51,0.7962962962962963,0.8222222222222222,18,1.0,0.0,0.3111068208914448,0.06305214040572814,0.06270885437346925,0.05318903535162648,0.05275469383534945,0.29953803360736364,0.16463456848443525,0.25023687265730826,0.5496282608980444,0.301151204046549,0.1658863197417711,0.2513439408882121,0.550840632588439,17.298283999996784
adopted_control,3,control_s3,tf2_runs/tf2/control_s3/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,54,0.8703703703703703,0.8518518518518519,13,1.0,0.0,0.2945268064645564,0.059640845476171794,0.05924171795683644,0.05060241450935214,0.050286298069708905,0.2872004175172255,0.15290771608757003,0.24311172366414524,0.5324077082109361,0.28716323594995474,0.1506308278838342,0.2444853324276941,0.5245477450674965,17.352952199995343
adopted_control,4,control_s4,tf2_runs/tf2/control_s4/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,60,0.8740740740740741,0.8592592592592593,19,1.0,0.0,0.286513578402705,0.058992928117672955,0.05840439044333632,0.05010655905977924,0.04959627805351545,0.26724609645147235,0.1481421455651277,0.22242837223679482,0.5543285665615998,0.2664565202048789,0.14791672088129026,0.22162969305447205,0.5551251692679797,17.492055700000492
split_threshold_row_strict,0,split_row_s0,tf2_runs/tf2/split_row_s0/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,20.0,45.0,53,0.7444444444444445,0.7888888888888889,24,1.0,0.0,0.32494823842222975,0.06763933743305282,0.06714864927832871,0.05812657724076158,0.05763809380090141,0.26088971907411024,0.1534057855691051,0.21102158769304608,0.588010083776155,0.2587546153143675,0.1526843404295965,0.20890534491502463,0.5900738823309353,17.86201520000759
split_threshold_row_strict,1,split_row_s1,tf2_runs/tf2/split_row_s1/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,20.0,45.0,56,0.8185185185185185,0.8,26,1.0,0.0,0.29557708275115424,0.060962961504716896,0.06136236825267313,0.05043836920971757,0.05082621270766779,0.2934775199288443,0.1758993602163472,0.23492226326822438,0.5993622961615432,0.2930302386886589,0.1761805760026431,0.23415192808368945,0.6012368443307069,17.942687800001295
split_threshold_row_strict,2,split_row_s2,tf2_runs/tf2/split_row_s2/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,20.0,45.0,56,0.774074074074074,0.7851851851851852,27,1.0,0.0,0.30574653155792453,0.06414758341400653,0.06381990017700423,0.05242827529122173,0.052054707493591354,0.29410159514551915,0.18109338154654686,0.2317346228494474,0.6157511028015448,0.29623996933093943,0.18272251023715325,0.23317504944103556,0.6168057289832755,17.0541138999979
split_threshold_row_strict,3,split_row_s3,tf2_runs/tf2/split_row_s3/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,20.0,45.0,50,0.8444444444444444,0.8111111111111111,22,1.0,0.0,0.31254644691067673,0.06522109099753512,0.06466855878908832,0.05506385798859926,0.05461845641293537,0.2717510221694682,0.16010015562711968,0.21958269107177572,0.5891427908862793,0.271242925674458,0.15797984494233966,0.22048830653899518,0.5824293649300365,17.165103200000885
split_threshold_row_strict,4,split_row_s4,tf2_runs/tf2/split_row_s4/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,20.0,45.0,59,0.8333333333333334,0.8296296296296296,27,1.0,0.0,0.29992900912469483,0.0635219280224109,0.06286931013245778,0.053040088291132145,0.05246045238550481,0.26234660674551347,0.15795031860068956,0.20946942241011163,0.602067320633987,0.2610783259221182,0.15722471149200937,0.20842812277269646,0.6022128069677862,17.159640599995328
split_threshold_orthogonal_strict,0,split_orth_s0,tf2_runs/tf2/split_orth_s0/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,45.0,20.0,53,0.7444444444444445,0.7666666666666667,24,1.0,0.0,0.32864937428616803,0.06876210172612987,0.0683559000416159,0.058971068589273076,0.05855559567210917,0.25885652993547276,0.15201409061398496,0.20951949633634934,0.5872522924257647,0.2571026887968934,0.1515406210124643,0.2076950475330332,0.589416710193096,17.049289700000372
split_threshold_orthogonal_strict,1,split_orth_s1,tf2_runs/tf2/split_orth_s1/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,45.0,20.0,56,0.7962962962962963,0.7925925925925926,26,1.0,0.0,0.2963966077913192,0.061464727087699074,0.061756556414337416,0.05078780688902218,0.051074223590070904,0.29028470884667545,0.17650851180728624,0.23045597724896663,0.6080530817781232,0.29001170051918973,0.1767701794344969,0.2299110482354598,0.6095277504943296,17.469390999991447
split_threshold_orthogonal_strict,2,split_orth_s2,tf2_runs/tf2/split_orth_s2/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,45.0,20.0,56,0.7518518518518519,0.7703703703703704,28,1.0,0.0,0.30870533620733975,0.06513706424995709,0.06486333724470819,0.05315721507670144,0.052842366795345964,0.2917351252538307,0.18236239211388006,0.22771328737992388,0.625095767796941,0.2938710385668363,0.18387942109371372,0.2292346959048559,0.6257146739959993,19.966076999997313
split_threshold_orthogonal_strict,3,split_orth_s3,tf2_runs/tf2/split_orth_s3/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,45.0,20.0,50,0.8407407407407408,0.8333333333333334,23,1.0,0.0,0.31409429413895434,0.0658426673960995,0.06537034274848272,0.05545034318578903,0.05508973385884303,0.2703075095448659,0.16077736142390142,0.2172942469784139,0.5947942833501466,0.2699072215795498,0.15854548510930974,0.2184335995497164,0.5874073475376856,19.902097000005597
split_threshold_orthogonal_strict,4,split_orth_s4,tf2_runs/tf2/split_orth_s4/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,45.0,20.0,60,0.8407407407407408,0.8555555555555555,27,1.0,0.0,0.2988895439594278,0.06353485628334485,0.06296118340368183,0.052915348916564964,0.052392115479025975,0.26073984109674353,0.15935513853512828,0.2063763662767739,0.6111652820866834,0.2594274090414573,0.15871819909388268,0.2052099262666361,0.6118019668018927,20.069370800003526
split_threshold_balanced_30_30,0,split_bal_s0,tf2_runs/tf2/split_bal_s0/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,30.0,30.0,53,0.7481481481481481,0.7851851851851852,24,1.0,0.0,0.3261533935359916,0.068033189898082,0.06758417480835362,0.058399269199035334,0.057945992174863625,0.2602701474784073,0.15282169810484392,0.21068003763238666,0.5871656799115711,0.2583151218276822,0.15221801331543364,0.2087016496991645,0.5892725607329168,20.210412699998415
split_threshold_balanced_30_30,1,split_bal_s1,tf2_runs/tf2/split_bal_s1/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,30.0,30.0,56,0.8,0.7962962962962963,26,1.0,0.0,0.29591805718193837,0.06125463222841075,0.06160316890680776,0.05063457439803959,0.05097464030020221,0.2912795308590762,0.17581024571713616,0.23223807310250344,0.603579129637485,0.2909944057213185,0.1761355651461632,0.23163334572497332,0.6052884924353009,19.99193319999904
split_threshold_balanced_30_30,2,split_bal_s2,tf2_runs/tf2/split_bal_s2/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,30.0,30.0,45,0.762962962962963,0.725925925925926,28,1.0,0.0,0.3311268273057263,0.06823356111807904,0.06809815073298475,0.05728830371271283,0.05704064767926053,0.29784203432778616,0.17867901862814758,0.23829327668777447,0.5999120272980164,0.2999377400556553,0.1800939237664039,0.23985167610862043,0.6004376899452077,19.99106560000655
split_threshold_balanced_30_30,3,split_bal_s3,tf2_runs/tf2/split_bal_s3/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,30.0,30.0,50,0.8407407407407408,0.8111111111111111,23,1.0,0.0,0.313208186171714,0.06550745406537627,0.06498739203389801,0.055240368821722646,0.0548287315597706,0.27092585070077907,0.16018353190733767,0.21849954847466335,0.5912449162492454,0.270419777436954,0.15797727696910333,0.2194767322302729,0.5841927630679097,20.151340500000515
split_threshold_balanced_30_30,4,split_bal_s4,tf2_runs/tf2/split_bal_s4/summary.json,local_field_direction_angle_clip_keep_live_norm_split_threshold,30.0,30.0,52,0.8296296296296296,0.8296296296296296,27,1.0,0.0,0.31509152247287253,0.06591373712215001,0.06534730768413934,0.055855678873045815,0.0553417574646607,0.2665018904389719,0.15790912625434744,0.21468107847021434,0.5925253512995554,0.26512009794023944,0.15739807569240405,0.21334130425252965,0.5936859442767822,20.068413599998166
