run_index,config_key,seed,incremental_weight_updates,supervision_policy,micro_steps,theta_update_budget,theta_micro_lr,theta_micro_bias_lr,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,forward_init_stability_metrics_json,run_summary_path
1,inc0_local_only_m2,0,False,local_only,2,matched,0.01,0.01,0.7592592592592593,0.7481481481481481,25,0.3282012103640045,55,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc0_local_only_m2_seed0/summary.json
2,inc0_local_only_m2,1,False,local_only,2,matched,0.01,0.01,0.7777777777777778,0.725925925925926,21,0.33742535951041175,57,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc0_local_only_m2_seed1/summary.json
3,inc0_local_only_m2,2,False,local_only,2,matched,0.01,0.01,0.7888888888888889,0.8037037037037037,24,0.3396977595270386,54,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc0_local_only_m2_seed2/summary.json
4,inc0_local_only_m4,0,False,local_only,4,matched,0.005,0.005,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc0_local_only_m4_seed0/summary.json
5,inc0_local_only_m4,1,False,local_only,4,matched,0.005,0.005,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc0_local_only_m4_seed1/summary.json
6,inc0_local_only_m4,2,False,local_only,4,matched,0.005,0.005,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc0_local_only_m4_seed2/summary.json
7,inc0_mixed_m2,0,False,mixed,2,matched,0.01,0.01,0.7518518518518519,0.7592592592592593,25,0.3273101683569874,55,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc0_mixed_m2_seed0/summary.json
8,inc0_mixed_m2,1,False,mixed,2,matched,0.01,0.01,0.7777777777777778,0.762962962962963,22,0.3328173557128423,58,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc0_mixed_m2_seed1/summary.json
9,inc0_mixed_m2,2,False,mixed,2,matched,0.01,0.01,0.7925925925925926,0.8,24,0.33904918095353104,54,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc0_mixed_m2_seed2/summary.json
10,inc0_mixed_m4,0,False,mixed,4,matched,0.005,0.005,0.7888888888888889,0.8407407407407408,30,0.30042410474897685,55,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc0_mixed_m4_seed0/summary.json
11,inc0_mixed_m4,1,False,mixed,4,matched,0.005,0.005,0.837037037037037,0.762962962962963,27,0.30434552037056506,57,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc0_mixed_m4_seed1/summary.json
12,inc0_mixed_m4,2,False,mixed,4,matched,0.005,0.005,0.8592592592592593,0.837037037037037,26,0.31537326023852763,51,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc0_mixed_m4_seed2/summary.json
13,inc1_local_only_m2,0,True,local_only,2,matched,0.01,0.01,0.7296296296296296,0.7777777777777778,18,0.32715874678590334,60,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc1_local_only_m2_seed0/summary.json
14,inc1_local_only_m2,1,True,local_only,2,matched,0.01,0.01,0.8,0.7518518518518519,12,0.3320946616086295,59,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc1_local_only_m2_seed1/summary.json
15,inc1_local_only_m2,2,True,local_only,2,matched,0.01,0.01,0.7925925925925926,0.762962962962963,15,0.3348098985156758,58,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc1_local_only_m2_seed2/summary.json
16,inc1_local_only_m4,0,True,local_only,4,matched,0.005,0.005,0.7555555555555555,0.8037037037037037,0,0.31949711695776595,55,False,True,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc1_local_only_m4_seed0/summary.json
17,inc1_local_only_m4,1,True,local_only,4,matched,0.005,0.005,0.8148148148148148,0.7851851851851852,3,0.3198076520432722,58,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc1_local_only_m4_seed1/summary.json
18,inc1_local_only_m4,2,True,local_only,4,matched,0.005,0.005,0.8222222222222222,0.825925925925926,6,0.3164947131667919,59,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc1_local_only_m4_seed2/summary.json
19,inc1_mixed_m2,0,True,mixed,2,matched,0.01,0.01,0.7296296296296296,0.7851851851851852,18,0.3260388661499152,60,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc1_mixed_m2_seed0/summary.json
20,inc1_mixed_m2,1,True,mixed,2,matched,0.01,0.01,0.7962962962962963,0.7518518518518519,12,0.3328698155062879,59,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc1_mixed_m2_seed1/summary.json
21,inc1_mixed_m2,2,True,mixed,2,matched,0.01,0.01,0.7888888888888889,0.7962962962962963,15,0.3460450582538565,53,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc1_mixed_m2_seed2/summary.json
22,inc1_mixed_m4,0,True,mixed,4,matched,0.005,0.005,0.7592592592592593,0.8037037037037037,0,0.31832827438082345,55,False,True,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.542022286164281, ""rms"": 0.19354658097690547}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031756089358399723, ""initial_hidden_gradient_rms"": 0.00039953637452119973, ""initial_target_clamped_energy"": 0.5211936938331945}",runs/fmpc_tf2/inc1_mixed_m4_seed0/summary.json
23,inc1_mixed_m4,1,True,mixed,4,matched,0.005,0.005,0.8111111111111111,0.7592592592592593,2,0.3173802527624454,59,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.552576755643031, ""rms"": 0.19479409033882844}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031255525795965784, ""initial_hidden_gradient_rms"": 0.00039206543001390814, ""initial_target_clamped_energy"": 0.5299369306140906}",runs/fmpc_tf2/inc1_mixed_m4_seed1/summary.json
24,inc1_mixed_m4,2,True,mixed,4,matched,0.005,0.005,0.8222222222222222,0.8222222222222222,6,0.3156725659187618,59,True,False,"{""hidden_layer_stats"": [{""feature_dim"": 64, ""layer_index"": 1, ""mean_l2_norm"": 1.4278073948203271, ""rms"": 0.1790995270223032}], ""initial_hidden_gradient_mean_l2_norm"": 0.0031277564679902154, ""initial_hidden_gradient_rms"": 0.00039302953719682184, ""initial_target_clamped_energy"": 0.5312948001269733}",runs/fmpc_tf2/inc1_mixed_m4_seed2/summary.json
