handoff_mode,candidate_key,psi_family,time_encoding_variant,replay_prefix_steps,action_intervention_mode,seed,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,total_wall_time_seconds,run_status,run_summary_path
closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,0,closed_loop_live_plan,0,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,20.382254400465172,success,runs/closed_loop_live_plan/baseline_plain_raw/seed_0/summary.json
open_loop_baseline_plan_replay,baseline_plain_raw,baseline_plain,raw,4,open_loop_baseline_plan_replay,0,0.7888888888888889,0.8407407407407408,30,0.30118421532332196,55,True,False,2.986150799668394,success,runs/open_loop_baseline_plan_replay/baseline_plain_raw/seed_0/summary.json
terminal_live_action_raw,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,live_action_raw,0,0.7777777777777778,0.8222222222222222,0,0.3616114072791532,55,False,True,7.577018999669235,success,runs/terminal_live_action_raw/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_replay_action_vector_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_action_vector_only,0,0.7888888888888889,0.8407407407407408,0,0.3664176374260702,55,False,True,7.579738799890038,success,runs/terminal_replay_action_vector_only/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_replay_action_direction_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_action_direction_only,0,0.7888888888888889,0.8407407407407408,0,0.36620416502810305,55,False,True,7.568818599975202,success,runs/terminal_replay_action_direction_only/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_replay_action_norm_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_action_norm_only,0,0.7777777777777778,0.8222222222222222,0,0.3621405999647685,55,False,True,7.642606500012334,success,runs/terminal_replay_action_norm_only/residualized_local_field_poly_rt2/seed_0/summary.json
terminal_replay_post_action_state_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_post_action_state_only,0,0.7888888888888889,0.8407407407407408,0,0.3664176374260702,55,False,True,7.571236700518057,success,runs/terminal_replay_post_action_state_only/residualized_local_field_poly_rt2/seed_0/summary.json
k4_open_loop_baseline_plan_replay,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,4,full_replay,0,0.7888888888888889,0.8407407407407408,0,0.36641758476344183,55,False,True,3.058783999935258,success,runs/k4_open_loop_baseline_plan_replay/residualized_local_field_poly_rt2/seed_0/summary.json
closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,0,closed_loop_live_plan,1,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,20.45893629931379,success,runs/closed_loop_live_plan/baseline_plain_raw/seed_1/summary.json
open_loop_baseline_plan_replay,baseline_plain_raw,baseline_plain,raw,4,open_loop_baseline_plan_replay,1,0.825925925925926,0.7814814814814814,27,0.3038568851594712,57,True,False,2.9653123997268267,success,runs/open_loop_baseline_plan_replay/baseline_plain_raw/seed_1/summary.json
terminal_live_action_raw,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,live_action_raw,1,0.8185185185185185,0.7777777777777778,0,0.3535578980906246,54,False,True,7.587444600241724,success,runs/terminal_live_action_raw/residualized_local_field_poly_rt2/seed_1/summary.json
terminal_replay_action_vector_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_action_vector_only,1,0.825925925925926,0.7814814814814814,0,0.3532872443813489,57,False,True,7.544193000125233,success,runs/terminal_replay_action_vector_only/residualized_local_field_poly_rt2/seed_1/summary.json
terminal_replay_action_direction_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_action_direction_only,1,0.825925925925926,0.7814814814814814,0,0.35267618121258293,57,False,True,7.6024712001672015,success,runs/terminal_replay_action_direction_only/residualized_local_field_poly_rt2/seed_1/summary.json
terminal_replay_action_norm_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_action_norm_only,1,0.8185185185185185,0.7777777777777778,0,0.35502295005009327,54,False,True,7.6516872001229785,success,runs/terminal_replay_action_norm_only/residualized_local_field_poly_rt2/seed_1/summary.json
terminal_replay_post_action_state_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_post_action_state_only,1,0.825925925925926,0.7814814814814814,0,0.3532872443813489,57,False,True,7.613607400795445,success,runs/terminal_replay_post_action_state_only/residualized_local_field_poly_rt2/seed_1/summary.json
k4_open_loop_baseline_plan_replay,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,4,full_replay,1,0.825925925925926,0.7814814814814814,0,0.3532872631578403,57,False,True,3.066403199394699,success,runs/k4_open_loop_baseline_plan_replay/residualized_local_field_poly_rt2/seed_1/summary.json
closed_loop_live_plan,baseline_plain_raw,baseline_plain,raw,0,closed_loop_live_plan,2,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,21.15903020062251,success,runs/closed_loop_live_plan/baseline_plain_raw/seed_2/summary.json
open_loop_baseline_plan_replay,baseline_plain_raw,baseline_plain,raw,4,open_loop_baseline_plan_replay,2,0.8592592592592593,0.837037037037037,26,0.31609758472524324,51,True,False,3.0852367008919828,success,runs/open_loop_baseline_plan_replay/baseline_plain_raw/seed_2/summary.json
terminal_live_action_raw,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,live_action_raw,2,0.8444444444444444,0.837037037037037,0,0.365112105903847,51,False,True,7.723520400410052,success,runs/terminal_live_action_raw/residualized_local_field_poly_rt2/seed_2/summary.json
terminal_replay_action_vector_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_action_vector_only,2,0.8592592592592593,0.837037037037037,0,0.37240396910005297,51,False,True,7.739901299704798,success,runs/terminal_replay_action_vector_only/residualized_local_field_poly_rt2/seed_2/summary.json
terminal_replay_action_direction_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_action_direction_only,2,0.8592592592592593,0.8333333333333334,0,0.37172361267854787,51,False,True,7.722357300110161,success,runs/terminal_replay_action_direction_only/residualized_local_field_poly_rt2/seed_2/summary.json
terminal_replay_action_norm_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_action_norm_only,2,0.8444444444444444,0.837037037037037,0,0.36652214167632147,51,False,True,7.700593599642161,success,runs/terminal_replay_action_norm_only/residualized_local_field_poly_rt2/seed_2/summary.json
terminal_replay_post_action_state_only,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,3,replay_post_action_state_only,2,0.8592592592592593,0.837037037037037,0,0.37240396910005297,51,False,True,7.716523700102698,success,runs/terminal_replay_post_action_state_only/residualized_local_field_poly_rt2/seed_2/summary.json
k4_open_loop_baseline_plan_replay,residualized_local_field_poly_rt2,residualized_local_field,poly_rt2,4,full_replay,2,0.8592592592592593,0.837037037037037,0,0.3724039487650898,51,False,True,3.106185299344361,success,runs/k4_open_loop_baseline_plan_replay/residualized_local_field_poly_rt2/seed_2/summary.json
