case_name,seed,run_id,run_summary_path,terminal_local_field_direction_intervention,terminal_local_field_rowspace_angle_clip_degrees,terminal_local_field_orthogonal_angle_clip_degrees,selected_epoch,val_accuracy,test_accuracy,gate_passing_epoch_count,selected_epoch_passes_gate,selector_fallback_used,val_transported_final_energy,val_report_output_mse,test_report_output_mse,val_supervised_transport_output_mse,test_supervised_transport_output_mse,val_delta_h_rms_total,val_delta_h_rms_rowspace,val_delta_h_rms_orthogonal,val_delta_h_rowspace_fraction,test_delta_h_rms_total,test_delta_h_rms_rowspace,test_delta_h_rms_orthogonal,test_delta_h_rowspace_fraction,val_full_space_angle_raw_vs_lf_deg,val_full_space_angle_stabilized_vs_lf_deg,val_full_space_angle_improvement_deg,val_full_space_correction_angle_deg,val_rowspace_angle_raw_vs_lf_deg,val_rowspace_angle_stabilized_vs_lf_deg,val_rowspace_angle_improvement_deg,val_rowspace_correction_angle_deg,val_orthogonal_angle_raw_vs_lf_deg,val_orthogonal_angle_stabilized_vs_lf_deg,val_orthogonal_angle_improvement_deg,val_orthogonal_correction_angle_deg,val_subspace_correction_mismatch_deg,val_full_cone_clip_activation_rate,val_rowspace_clip_activation_rate,val_orthogonal_clip_activation_rate,val_full_space_angle_above_30deg_rate_after_stabilization,val_raw_action_norm,val_local_field_action_norm,val_stabilized_action_norm,val_raw_rowspace_norm,val_raw_orthogonal_norm,val_stabilized_rowspace_norm,val_stabilized_orthogonal_norm,val_row_orth_norm_ratio_raw,val_row_orth_norm_ratio_stabilized,val_row_orth_norm_ratio_abs_delta,runtime_proxy_seconds
adopted_control,0,control_s0,tf2_runs/tf2/control_s0/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,53,0.774074074074074,0.8037037037037037,11,1.0,0.0,0.3137282688131667,0.06320277364531794,0.06274214890460197,0.05516971777538815,0.05475014631375841,0.2743618919770443,0.14641771874107942,0.23202650583043638,0.5336663837896631,0.2720170006216549,0.145162582375685,0.23004580697162014,0.5336526101086962,73.39339966988057,29.999999999999993,43.39339966988057,43.39339966988057,56.76132089956736,14.615691860697526,42.145629038869835,42.145629038869835,0.0,0.0,0.0,2.2941685712447272e-07,42.14562880945298,1.0,1.0,1.0,0.0,0.32818474174281415,0.0017669421580801023,0.32818474174281415,0.17452297208924197,0.2772307796597315,0.2940379049262773,0.14562360891351242,0.6288533611813772,2.0202292909179445,1.3913759297365673,15.843642300002102
adopted_control,1,control_s1,tf2_runs/tf2/control_s1/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,56,0.8629629629629629,0.8333333333333334,23,1.0,0.0,0.2883009074387914,0.05881460861610098,0.059407377548759153,0.04967542185167584,0.050221859389637594,0.28158828725490337,0.15597799093227577,0.2344415276009796,0.5539221551181891,0.2801929070279422,0.15594936227247427,0.23278286353504987,0.5565785512797519,72.23390643178942,29.999999999999993,42.23390643178943,42.23390643178942,51.96999058002705,12.767644173155782,39.202346406871264,39.20234640687126,0.0,0.0,0.0,2.523189895242208e-07,39.202346154552274,1.0,1.0,1.0,0.0,0.3437847228725828,0.001709679153461834,0.3437847228725828,0.17197772524540852,0.29532703650784037,0.305697880553555,0.1570565075232796,0.5849986607070446,1.9537180093686364,1.3687193486615918,16.358468399994308
adopted_control,2,control_s2,tf2_runs/tf2/control_s2/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,51,0.7962962962962963,0.8222222222222222,18,1.0,0.0,0.3111068208914448,0.06305214040572814,0.06270885437346925,0.05318903535162648,0.05275469383534945,0.29953803360736364,0.16463456848443525,0.25023687265730826,0.5496282608980444,0.301151204046549,0.1658863197417711,0.2513439408882121,0.550840632588439,70.45790502867125,29.99999999999999,40.45790502867125,40.45790502867125,49.83126416404843,13.038451957429562,36.79281220661887,36.79281220661887,0.0,0.0,0.0,3.0368024346568867e-07,36.79281190293863,1.0,1.0,1.0,0.0,0.3432691693058058,0.0017407135221797498,0.34326916930580587,0.17877420682029216,0.29113129528758946,0.30559039353883893,0.156174858089037,0.6173915430742857,1.9591487610138234,1.341757217939538,16.083371199994872
adopted_control,3,control_s3,tf2_runs/tf2/control_s3/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,54,0.8703703703703703,0.8518518518518519,13,1.0,0.0,0.2945268064645564,0.059640845476171794,0.05924171795683644,0.05060241450935214,0.050286298069708905,0.2872004175172255,0.15290771608757003,0.24311172366414524,0.5324077082109361,0.28716323594995474,0.1506308278838342,0.2444853324276941,0.5245477450674965,72.50966789199276,29.99999999999999,42.50966789199276,42.509667891992756,49.75196823533177,11.851075062035074,37.9008931732967,37.900893173296694,0.0,0.0,0.0,2.5848318146044544e-07,37.90089291481352,1.0,1.0,1.0,0.0,0.337467000000144,0.0017553174587503773,0.337467000000144,0.15890051501122815,0.2965393309045693,0.2989023154908106,0.15656521851113672,0.5369147858152802,1.910211846419509,1.373297060604229,16.191849600007117
adopted_control,4,control_s4,tf2_runs/tf2/control_s4/summary.json,local_field_direction_angle_clip_keep_live_norm,30.0,30.0,60,0.8740740740740741,0.8592592592592593,19,1.0,0.0,0.286513578402705,0.058992928117672955,0.05840439044333632,0.05010655905977924,0.04959627805351545,0.26724609645147235,0.1481421455651277,0.22242837223679482,0.5543285665615998,0.2664565202048789,0.14791672088129026,0.22162969305447205,0.5551251692679797,70.77614621089154,29.99999999999999,40.77614621089155,40.77614621089153,50.53105790433087,13.44996925850628,37.0810886458246,37.0810886458246,0.0,0.0,0.0,2.8215487900530495e-07,37.08108836366972,1.0,1.0,1.0,0.0,0.3068828138587036,0.0017836676641332047,0.3068828138587036,0.1588352232646795,0.26082954686602294,0.27351124104073476,0.13904957423654382,0.6178385396366994,1.9712559994511702,1.353417459814471,16.22270749999734
rowspace_only_angle_clip,0,rowclip_s0,tf2_runs/tf2/rowclip_s0/summary.json,local_field_direction_angle_clip_keep_live_norm_rowspace_only,30.0,30.0,53,0.7481481481481481,0.7851851851851852,24,1.0,0.0,0.3261533935359916,0.068033189898082,0.06758417480835362,0.058399269199035334,0.057945992174863625,0.2602701474784074,0.15282169810484397,0.21068003763238666,0.5871656799115712,0.2583151218276822,0.15221801331543366,0.2087016496991645,0.5892725607329169,68.90015800068163,60.69387480336887,8.20628319731276,11.069838885824119,49.839767817398396,29.87472143038504,19.965046387013352,19.9650464064486,0.0,0.0,0.0,2.9071393546775464e-07,19.965046145185774,0.9444444444444444,0.9444444444444444,0.0,1.0,0.31313031891924653,0.0017072531058024499,0.31313031891924664,0.17741520493108423,0.25713056730690853,0.17741520493108423,0.25713056730690853,0.689459754949121,0.689459754949121,1.0773275275992259e-16,16.63524899999902
rowspace_only_angle_clip,1,rowclip_s1,tf2_runs/tf2/rowclip_s1/summary.json,local_field_direction_angle_clip_keep_live_norm_rowspace_only,30.0,30.0,56,0.8,0.7962962962962963,26,1.0,0.0,0.29591805718193837,0.06125463222841075,0.061603168906807775,0.05063457439803959,0.05097464030020221,0.2912795308590762,0.17581024571713627,0.2322380731025034,0.6035791296374854,0.2909944057213185,0.17613556514616327,0.2316333457249733,0.6052884924353013,68.76472984854033,62.08565519846475,6.6790746500755835,9.008673520444491,47.02204296231397,29.154727519230715,17.867315443083257,17.867315481796087,0.0,0.0,0.0,2.93809087045893e-07,17.86731525800319,0.8481481481481481,0.8481481481481481,0.0,1.0,0.34994185357178,0.001654381225125427,0.34994185357178,0.18839633192601737,0.2920759209318193,0.18839633192601737,0.2920759209318193,0.6485107033216592,0.6485107033216592,1.05882381052214e-16,16.55732349999016
rowspace_only_angle_clip,2,rowclip_s2,tf2_runs/tf2/rowclip_s2/summary.json,local_field_direction_angle_clip_keep_live_norm_rowspace_only,30.0,30.0,45,0.762962962962963,0.725925925925926,28,1.0,0.0,0.33112682730572623,0.06823356111807904,0.06809815073298475,0.057288303712712825,0.05704064767926053,0.29784203432778616,0.17867901862814753,0.23829327668777447,0.5999120272980162,0.2999377400556553,0.18009392376640382,0.23985167610862043,0.6004376899452075,66.89367139419859,61.048705506608776,5.844965887589817,8.006150453640608,44.866081373035584,29.12421896522499,15.741862407810597,15.74186243719475,0.0,0.0,0.0,2.86255071560278e-07,15.741862223126011,0.8555555555555555,0.8555555555555555,0.0,1.0,0.34398603806452593,0.001627170210665642,0.34398603806452593,0.1914635965762558,0.28381337283903224,0.1914635965762558,0.28381337283903224,0.676973334029059,0.676973334029059,1.1050831032148549e-16,16.463302099997236
rowspace_only_angle_clip,3,rowclip_s3,tf2_runs/tf2/rowclip_s3/summary.json,local_field_direction_angle_clip_keep_live_norm_rowspace_only,30.0,30.0,50,0.8407407407407408,0.8111111111111111,23,1.0,0.0,0.313208186171714,0.06550745406537627,0.06498739203389801,0.055240368821722646,0.0548287315597706,0.27092585070077907,0.16018353190733775,0.21849954847466335,0.5912449162492457,0.27041977743695395,0.15797727696910338,0.21947673223027292,0.58419276306791,67.7758697193059,63.4355166400017,4.340353079304194,6.322536664264344,42.491045995057924,29.758636657975835,12.732409337082084,12.732409346568422,0.0,0.0,0.0,3.00497335123062e-07,12.732409071368087,0.9185185185185185,0.9185185185185185,0.0,1.0,0.31971967251646016,0.0016733246952422324,0.31971967251646016,0.16487523866810483,0.2727795546333542,0.16487523866810486,0.2727795546333542,0.6067046255444706,0.6067046255444706,9.992007221626409e-17,16.54974950000178
rowspace_only_angle_clip,4,rowclip_s4,tf2_runs/tf2/rowclip_s4/summary.json,local_field_direction_angle_clip_keep_live_norm_rowspace_only,30.0,30.0,52,0.8296296296296296,0.8296296296296296,27,1.0,0.0,0.31509152247287253,0.06591373712215001,0.06534730768413934,0.055855678873045815,0.0553417574646607,0.2665018904389719,0.1579091262543474,0.21468107847021436,0.5925253512995552,0.26512009794023944,0.157398075692404,0.21334130425252965,0.593685944276782,67.27202524359991,61.516461951253746,5.755563292346169,8.233699525742987,45.21317578759458,29.653577419858152,15.55959836773643,15.559598390638564,0.0,0.0,0.0,2.610381032819391e-07,15.559598154897456,0.9296296296296296,0.9296296296296296,0.0,1.0,0.30841996342063377,0.0016819400298980144,0.30841996342063377,0.16883843158429912,0.2566082310637673,0.16883843158429912,0.2566082310637673,0.6643709702480118,0.6643709702480118,1.1019991503686739e-16,16.750367099994037
orthogonal_only_angle_clip,0,orthclip_s0,tf2_runs/tf2/orthclip_s0/summary.json,local_field_direction_angle_clip_keep_live_norm_orthogonal_only,30.0,30.0,59,0.7444444444444445,0.7777777777777778,25,1.0,0.0,0.31905117022117474,0.0678377790003336,0.06748324323897449,0.0573219567046331,0.056950636846893596,0.2534905514391582,0.1540736405033985,0.20129275439259614,0.6078082186048605,0.25212739715510885,0.15398569774213597,0.19964125146641795,0.6107455971847594,66.10083424771292,66.10083424771292,-7.368591333808446e-16,2.544114051811143e-07,44.519413796205754,44.519413796205754,1.447401869140945e-16,2.268772959685949e-07,0.0,0.0,0.0,2.449227262782845e-07,3.9961369089694114e-07,0.0,0.0,0.0,1.0,0.3017813329898825,0.0017105682586682626,0.3017813329898825,0.17367027920007186,0.2458046093694869,0.17367027920007186,0.2458046093694869,0.7064994454812965,0.7064994454812965,4.9754439251719976e-17,15.843899799998326
orthogonal_only_angle_clip,1,orthclip_s1,tf2_runs/tf2/orthclip_s1/summary.json,local_field_direction_angle_clip_keep_live_norm_orthogonal_only,30.0,30.0,58,0.7962962962962963,0.8,25,1.0,0.0,0.29314233153668656,0.0608031117599851,0.06104662735140203,0.05007976259765996,0.05032073560113516,0.29125952586145104,0.1793590544032573,0.22948298631621178,0.6158049384746181,0.29094472484944967,0.17956126142255938,0.22892484861644283,0.6171662384168469,67.93833109165686,67.93833109165686,-1.052655904829778e-15,2.894325568416405e-07,45.59044617610703,45.59044617610703,-9.473903143468002e-16,2.5525638886268034e-07,0.0,0.0,0.0,2.511669468621435e-07,4.342370043748856e-07,0.0,0.0,0.0,1.0,0.3504114093652578,0.001632520686179455,0.35041140936525783,0.19054123955114494,0.2915411252659247,0.19054123955114494,0.2915411252659247,0.6558405672213629,0.6558405672213629,5.32495858107251e-17,15.865768200004823
orthogonal_only_angle_clip,2,orthclip_s2,tf2_runs/tf2/orthclip_s2/summary.json,local_field_direction_angle_clip_keep_live_norm_orthogonal_only,30.0,30.0,59,0.737037037037037,0.762962962962963,29,1.0,0.0,0.3052699346462371,0.06507055449961649,0.06477076723525144,0.05263967204367118,0.052310409332922844,0.28876713196526993,0.18423174046024257,0.22236259197634264,0.6379941484559266,0.29099293851146196,0.185767096388054,0.22398097277020415,0.6383903930395094,63.305981709091846,63.305981709091846,-6.579099405186112e-16,2.997378031503944e-07,40.06537223076452,40.06537223076452,-4.276414613370973e-16,2.418275747001462e-07,0.0,0.0,0.0,2.405177797983901e-07,4.201879318080724e-07,0.0,0.0,0.0,1.0,0.3308173517639865,0.0017068714535479908,0.3308173517639865,0.19511876851927046,0.2646575086038794,0.19511876851927049,0.2646575086038794,0.7445446221399181,0.7445446221399181,4.8520858113247584e-17,15.75698150000244
orthogonal_only_angle_clip,3,orthclip_s3,tf2_runs/tf2/orthclip_s3/summary.json,local_field_direction_angle_clip_keep_live_norm_orthogonal_only,30.0,30.0,50,0.8444444444444444,0.8333333333333334,25,1.0,0.0,0.3144429380041523,0.06608888083996838,0.06565591787675432,0.05557548024596399,0.0552547748408629,0.2692676402352741,0.16237487437996614,0.21480098288407162,0.6030240924534793,0.26888145939497277,0.16015713775429197,0.2159790046109184,0.5956421767223062,66.5393466363629,66.5393466363629,-1.052655904829778e-15,2.3457831313945253e-07,40.39893175192484,40.39893175192484,-5.394861512252612e-16,2.687521760628228e-07,0.0,0.0,0.0,2.76543972435751e-07,3.972188263707161e-07,0.0,0.0,0.0,1.0,0.3179742797615188,0.0016373655816959442,0.3179742797615188,0.16698985011002976,0.2694846534488327,0.16698985011002976,0.2694846534488327,0.6219476108025198,0.6219476108025198,4.0091387000352874e-17,16.156651100005547
