run_index,protocol,seed,micro_steps,epochs_used,effective_microstep_budget,checkpoint_selector,val_accuracy,test_accuracy,gate_passing_epoch_count,val_transported_final_energy,selected_epoch,selected_epoch_passes_gate,selector_fallback_used,train_wall_time_seconds,total_wall_time_seconds,run_status,nan_or_inf_failure,failure_type,failure_message,run_summary_path
1,fixed_outer_training,0,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,16.227531500015175,16.258728300017538,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m4_seed0/summary.json
2,fixed_outer_training,1,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,16.57114939999883,16.601568699989002,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m4_seed1/summary.json
3,fixed_outer_training,2,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,16.574608199996874,16.601421100000152,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m4_seed2/summary.json
4,fixed_outer_training,3,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8222222222222222,32,0.3052137238952159,58,True,False,16.320087500003865,16.348652799992124,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m4_seed3/summary.json
5,fixed_outer_training,4,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8148148148148148,23,0.28345675123876396,60,True,False,16.600002099992707,16.625615699973423,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m4_seed4/summary.json
6,fixed_outer_training,0,6,60,360,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.8555555555555555,28,0.2940514158589308,55,True,False,25.186918499995954,25.22683669999242,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m6_seed0/summary.json
7,fixed_outer_training,1,6,60,360,gate_constrained_accuracy_then_val_accuracy,0.837037037037037,0.7851851851851852,25,0.2910611428137127,58,True,False,27.913876099977642,27.95360339997569,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m6_seed1/summary.json
8,fixed_outer_training,2,6,60,360,gate_constrained_accuracy_then_val_accuracy,0.8518518518518519,0.8444444444444444,25,0.2991109627162595,53,True,False,28.307391600013943,28.34708900001715,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m6_seed2/summary.json
9,fixed_outer_training,3,6,60,360,gate_constrained_accuracy_then_val_accuracy,0.8555555555555555,0.825925925925926,31,0.29373691031344523,58,True,False,27.927062300004764,27.975223599991295,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m6_seed3/summary.json
10,fixed_outer_training,4,6,60,360,gate_constrained_accuracy_then_val_accuracy,0.8518518518518519,0.8296296296296296,16,0.2770908193354155,60,True,False,27.618228500010446,27.65894120003213,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m6_seed4/summary.json
11,fixed_outer_training,0,8,60,480,gate_constrained_accuracy_then_val_accuracy,0.8148148148148148,0.8666666666666667,25,0.2893442630604319,55,True,False,37.093625000008615,37.14909789999365,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m8_seed0/summary.json
12,fixed_outer_training,1,8,60,480,gate_constrained_accuracy_then_val_accuracy,0.8296296296296296,0.8037037037037037,25,0.2945825957338712,54,True,False,36.78896669999813,36.84008399999584,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m8_seed1/summary.json
13,fixed_outer_training,2,8,60,480,gate_constrained_accuracy_then_val_accuracy,0.8444444444444444,0.8481481481481481,23,0.2941289398378571,52,True,False,36.717390100006014,36.773209400009364,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m8_seed2/summary.json
14,fixed_outer_training,3,8,60,480,gate_constrained_accuracy_then_val_accuracy,0.8555555555555555,0.8407407407407408,30,0.28733039310452574,58,True,False,36.74696660001064,36.80091990000801,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m8_seed3/summary.json
15,fixed_outer_training,4,8,60,480,gate_constrained_accuracy_then_val_accuracy,0.8518518518518519,0.8222222222222222,9,0.27760796409483324,57,True,False,36.971274800016545,37.029287500015926,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m8_seed4/summary.json
16,fixed_outer_training,0,10,60,600,gate_constrained_accuracy_then_val_accuracy,0.8185185185185185,0.8666666666666667,25,0.28612096990099267,55,True,False,45.31873130000895,45.385661900014384,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m10_seed0/summary.json
17,fixed_outer_training,1,10,60,600,gate_constrained_accuracy_then_val_accuracy,0.8296296296296296,0.8074074074074075,24,0.2878811462743672,56,True,False,45.76310179999564,45.823199100006605,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m10_seed1/summary.json
18,fixed_outer_training,2,10,60,600,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8518518518518519,20,0.2905011549641067,52,True,False,45.80594240000937,45.861501900013536,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m10_seed2/summary.json
19,fixed_outer_training,3,10,60,600,gate_constrained_accuracy_then_val_accuracy,0.8555555555555555,0.8407407407407408,29,0.2831229311246822,58,True,False,45.84430090000387,45.90748090000125,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m10_seed3/summary.json
20,fixed_outer_training,4,10,60,600,gate_constrained_accuracy_then_val_accuracy,0.8629629629629629,0.8222222222222222,7,0.2692101214944345,60,True,False,45.6259502999892,45.68444620000082,completed,False,,,runs/fmpc_tf2/fixed_outer_training_m10_seed4/summary.json
21,matched_inner_compute,0,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.7888888888888889,0.8407407407407408,30,0.30119296966554254,55,True,False,18.68485890000011,18.715523799997754,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m4_seed0/summary.json
22,matched_inner_compute,1,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.825925925925926,0.7814814814814814,27,0.30386400159532506,57,True,False,18.675604499992914,18.70642579998821,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m4_seed1/summary.json
23,matched_inner_compute,2,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.8592592592592593,0.837037037037037,26,0.31610738997193893,51,True,False,18.992628499981947,19.023739600001136,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m4_seed2/summary.json
24,matched_inner_compute,3,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.8333333333333334,0.8222222222222222,32,0.3052137238952159,58,True,False,18.874556199996732,18.905048999993596,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m4_seed3/summary.json
25,matched_inner_compute,4,4,60,240,gate_constrained_accuracy_then_val_accuracy,0.8407407407407408,0.8148148148148148,23,0.28345675123876396,60,True,False,18.81123639998259,18.851042099966435,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m4_seed4/summary.json
26,matched_inner_compute,0,6,40,240,gate_constrained_accuracy_then_val_accuracy,0.762962962962963,0.7777777777777778,8,0.34023898246178164,34,True,False,19.09663429998909,19.13892689999193,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m6_seed0/summary.json
27,matched_inner_compute,1,6,40,240,gate_constrained_accuracy_then_val_accuracy,0.7518518518518519,0.7296296296296296,5,0.33881792697654184,39,True,False,18.592659999994794,18.632404400006635,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m6_seed1/summary.json
28,matched_inner_compute,2,6,40,240,gate_constrained_accuracy_then_val_accuracy,0.8296296296296296,0.8296296296296296,5,0.3434259680467991,37,True,False,18.52960539999185,18.57304269997985,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m6_seed2/summary.json
29,matched_inner_compute,3,6,40,240,gate_constrained_accuracy_then_val_accuracy,0.774074074074074,0.7555555555555555,11,0.33930220200473177,39,True,False,18.552839999989374,18.593766199977836,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m6_seed3/summary.json
30,matched_inner_compute,4,6,40,240,gate_constrained_accuracy_then_val_accuracy,0.8111111111111111,0.7777777777777778,0,0.3252946894998605,38,False,True,18.85358849997283,18.89755939997849,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m6_seed4/summary.json
31,matched_inner_compute,0,8,30,240,gate_constrained_accuracy_then_val_accuracy,0.7148148148148148,0.7407407407407407,0,0.34847828218000376,30,False,True,18.773928899987368,18.827634899993427,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m8_seed0/summary.json
32,matched_inner_compute,1,8,30,240,gate_constrained_accuracy_then_val_accuracy,0.737037037037037,0.6925925925925925,0,0.3665908360697915,29,False,True,18.593099499994423,18.643787799985148,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m8_seed1/summary.json
33,matched_inner_compute,2,8,30,240,gate_constrained_accuracy_then_val_accuracy,0.7962962962962963,0.8074074074074075,0,0.36589309515154195,29,False,True,18.50346099998569,18.557232999970438,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m8_seed2/summary.json
34,matched_inner_compute,3,8,30,240,gate_constrained_accuracy_then_val_accuracy,0.7666666666666667,0.7481481481481481,0,0.36523552755249883,29,False,True,18.73200070002349,18.789124000031734,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m8_seed3/summary.json
35,matched_inner_compute,4,8,30,240,gate_constrained_accuracy_then_val_accuracy,0.7962962962962963,0.7592592592592593,0,0.35365089051154214,28,False,True,18.72649139998248,18.781378699990455,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m8_seed4/summary.json
36,matched_inner_compute,0,10,24,240,gate_constrained_accuracy_then_val_accuracy,0.6814814814814815,0.6814814814814815,0,0.37250086716074493,23,False,True,18.523194500012323,18.59095830001752,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m10_seed0/summary.json
37,matched_inner_compute,1,10,24,240,gate_constrained_accuracy_then_val_accuracy,0.6592592592592592,0.6259259259259259,0,0.3864245613399957,23,False,True,18.215002699987963,18.282061000005342,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m10_seed1/summary.json
38,matched_inner_compute,2,10,24,240,gate_constrained_accuracy_then_val_accuracy,0.7703703703703704,0.7777777777777778,0,0.3825097088064664,24,False,True,18.351430899987463,18.41287229998852,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m10_seed2/summary.json
39,matched_inner_compute,3,10,24,240,gate_constrained_accuracy_then_val_accuracy,0.7185185185185186,0.7185185185185186,0,0.38522178311546046,23,False,True,18.564006799977506,18.62454009996145,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m10_seed3/summary.json
40,matched_inner_compute,4,10,24,240,gate_constrained_accuracy_then_val_accuracy,0.7962962962962963,0.7888888888888889,0,0.36630915600553515,24,False,True,18.534795199986547,18.597242799995,completed,False,,,runs/fmpc_tf2/matched_inner_compute_m10_seed4/summary.json
